Cash Flow Momentum Score (CMS)-S&P 500 Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Index Weight,Stock Symbol,TTM,Latest Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Palantir Technologies Inc. Class A,0.27%,PLTR,56,58,63,32,35,61,46,NA,58,9,28,8,14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol-Myers Squibb Co.,0.21%,BMY,40,69,89,57,51,67,83,NA,69,64,74,59,71,51,73,49,20,32,32,84,55,62,48,52,63,48,28,43
Lockheed Martin Corp.,0.23%,LMT,45,43,57,47,49,45,67,NA,44,47,57,52,59,21,70,45,61,35,68,22,61,51,38,57,55,60,59,68
Gilead Sciences Inc,0.20%,GILD,61,53,69,44,57,65,42,NA,54,62,74,68,64,53,65,58,73,72,36,44,65,49,64,60,60,47,54,57
"Micron Technology, Inc.",0.19%,MU,68,69,64,63,48,35,32,71,8,72,69,49,62,76,81,14,61,82,36,20,39,80,42,25,12,74,60,69
"T-Mobile Us, Inc.",0.50%,TMUS,59,60,57,60,70,59,64,NA,60,59,61,58,60,36,23,57,61,54,64,71,55,58,68,48,67,60,45,27
The Charles Schwab Corporation,0.26%,SCHW,59,17,75,18,24,74,11,NA,17,36,22,57,66,92,25,66,29,70,60,43,85,20,72,32,48,78,42,69
Starbucks Corp,0.20%,SBUX,56,46,75,64,31,68,54,51,57,41,65,35,38,84,47,62,62,23,67,42,40,62,62,55,56,58,56,58
Medtronic Plc,0.20%,MDT,55,57,27,66,71,29,25,62,42,58,42,52,64,36,64,50,53,61,61,59,45,53,64,62,54,34,53,59
"Marsh & Mclennan Companies, Inc.",0.20%,MMC,47,49,70,59,25,62,64,NA,49,46,42,66,40,59,42,48,40,63,31,32,66,29,38,37,11,47,15,62
"Analog Devices, Inc.",0.19%,ADI,52,NA,55,50,68,60,45,NA,54,71,63,53,53,74,41,70,48,46,53,46,44,70,42,46,70,43,48,59
Boeing Company,0.19%,BA,26,29,26,32,32,46,6,NA,29,30,27,16,30,56,65,66,60,58,54,73,44,24,76,20,72,65,74,42
Intel Corp,0.19%,INTC,6,40,25,26,34,39,63,NA,40,35,51,70,67,66,59,71,57,58,66,56,67,69,57,61,66,53,69,64
"Prologis, Inc.",0.19%,PLD,59,63,58,46,63,43,72,NA,63,58,36,62,57,36,53,58,52,49,41,44,21,57,26,34,18,49,37,54
Chubb Limited,0.21%,CB,63,62,60,59,60,43,72,NA,63,64,58,72,56,55,36,57,45,60,46,62,59,51,49,61,69,62,60,69
Kkr & Co. Inc.,0.24%,KKR,77,45,56,72,65,60,68,NA,45,59,21,27,36,16,18,17,22,48,48,74,15,61,29,49,22,NA,NA,NA
Deere & Company,0.20%,DE,57,50,63,47,21,77,58,NA,51,21,48,75,42,15,19,49,48,34,44,16,27,38,47,26,58,19,34,26
Arista Networks,0.22%,ANET,61,55,42,63,55,43,60,NA,56,28,53,40,65,41,69,28,63,58,41,53,25,NA,NA,NA,NA,NA,NA,NA
Lam Research Corp,0.16%,LRCX,51,40,66,35,64,65,41,41,63,42,55,40,68,60,66,70,46,39,69,49,69,58,9,52,71,43,76,61
"Elevance Health, Inc.",0.17%,ELV,18,45,68,13,69,6,57,NA,46,49,40,73,55,23,48,36,59,47,42,34,57,18,47,35,46,53,56,42
The Southern Company,0.18%,SO,69,53,76,62,43,43,56,NA,53,49,45,57,28,50,59,41,56,49,62,44,65,53,44,52,56,52,43,43
"United Parcel Service, Inc. Class B",0.21%,UPS,40,38,31,37,72,44,39,NA,39,50,58,61,35,75,16,45,63,41,50,57,68,29,47,80,34,38,47,43
Ge Vernova Inc.,0.17%,GEV,61,29,27,53,31,75,28,NA,30,27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Cigna Group,0.16%,CI,64,67,14,12,43,38,60,NA,67,53,37,48,63,37,55,71,55,51,12,64,35,61,27,70,58,29,28,39
Trane Technologies Plc,0.17%,TT,53,50,66,51,31,56,62,NA,51,36,38,41,60,34,46,60,37,31,48,42,71,22,77,16,32,49,42,50
"Nike, Inc.",0.21%,NKE,58,49,21,58,58,67,17,52,37,28,52,20,54,59,41,26,59,33,51,33,24,65,39,44,49,50,50,63
"Altria Group, Inc.",0.17%,MO,58,63,74,29,73,72,78,NA,64,67,76,74,38,69,54,34,61,49,52,52,56,38,45,48,52,64,55,54
American Tower Corporation,0.17%,AMT,74,66,42,55,66,60,58,NA,67,49,61,60,54,69,63,72,63,70,61,64,61,63,63,65,65,74,47,43
Parker-Hannifin Corporation,0.16%,PH,45,47,33,61,57,46,28,48,51,56,59,63,48,55,49,47,43,52,35,62,38,60,53,61,42,56,60,57
The Sherwin-Williams Company,0.17%,SHW,50,57,45,65,21,48,55,NA,58,29,28,64,53,45,50,39,59,37,52,48,47,40,55,59,57,58,65,45
Intercontinental Exchange Inc.,0.16%,ICE,53,50,45,61,63,66,42,NA,51,69,44,53,54,55,43,68,35,67,54,58,65,54,57,62,58,61,54,62
Kla Corporation,0.15%,KLAC,45,41,53,48,71,44,49,42,53,65,54,69,43,64,68,62,53,46,59,62,66,68,20,63,58,24,57,50
"Paypal Holdings, Inc.",0.16%,PYPL,53,39,56,48,66,73,60,NA,40,63,40,54,37,72,36,67,61,62,62,45,NA,NA,NA,NA,NA,NA,NA,NA
Amphenol Corporation,0.16%,APH,46,48,42,44,49,60,45,NA,49,56,32,47,56,32,52,47,58,49,46,51,51,29,61,60,51,51,47,53
"Mondelez International, Inc. Class A",0.16%,MDLZ,49,38,52,27,55,53,43,NA,39,42,41,50,35,59,26,36,34,32,62,32,43,24,61,55,43,47,42,46
Regeneron Pharmaceuticals Inc,0.15%,REGN,38,40,60,23,72,45,43,NA,42,48,68,51,51,56,38,56,68,65,61,49,5,28,26,13,21,32,21,5
Duke Energy Corporation,0.16%,DUK,41,65,24,56,57,48,65,NA,65,46,47,60,54,49,47,54,52,56,58,64,41,55,49,55,46,57,33,65
"Equinix, Inc. Reit",0.16%,EQIX,58,56,59,60,53,60,54,NA,56,62,56,63,59,61,67,63,67,32,54,58,65,58,66,61,33,25,42,43
Synopsys Inc,0.15%,SNPS,32,41,42,62,24,36,45,NA,42,63,62,53,59,22,61,66,53,65,57,65,68,59,40,58,76,49,33,60
Pnc Financial Services Group,0.15%,PNC,60,55,79,33,36,94,20,NA,55,72,68,39,34,71,50,43,58,39,52,58,58,59,68,74,22,57,23,23
Aon Plc Class A,0.15%,AON,47,55,69,44,40,73,68,NA,56,64,44,66,44,61,18,66,63,43,52,60,44,45,24,34,60,51,36,56
"Motorola Solutions, Inc.",0.15%,MSI,53,47,65,27,29,76,69,NA,48,53,55,54,75,36,42,70,71,3,29,50,23,71,32,11,7,36,55,59
Cadence Design Systems,0.15%,CDNS,38,45,63,28,49,38,48,NA,46,59,56,57,49,63,59,69,64,51,69,57,67,54,9,10,48,62,71,79
"Waste Management, Inc.",0.16%,WM,51,52,54,46,66,59,55,NA,52,60,64,54,62,58,58,69,68,53,63,55,62,56,57,66,60,64,65,62
Cme Group Inc.,0.15%,CME,51,49,56,43,58,58,36,NA,50,60,35,50,49,52,46,51,54,41,45,48,42,56,42,71,54,53,56,64
"Chipotle Mexican Grill, Inc.",0.15%,CMG,47,49,38,41,64,29,40,NA,50,48,57,40,50,58,60,37,46,56,55,47,60,50,63,63,58,55,58,40
General Dynamics Corporation,0.14%,GD,29,45,57,45,16,41,58,NA,46,51,48,54,31,29,63,32,30,60,52,22,49,45,43,55,59,43,54,46
Zoetis Inc.,0.14%,ZTS,53,45,64,38,51,60,59,NA,46,37,40,53,41,55,66,42,52,30,51,32,61,55,23,NA,NA,NA,NA,NA
Mckesson Corporation,0.14%,MCK,52,42,81,13,84,21,58,44,57,66,39,69,56,55,54,60,50,65,47,67,50,64,59,24,43,75,44,24
U.S. Bancorp,0.14%,USB,23,39,65,4,69,24,67,NA,40,87,70,36,33,74,59,40,74,21,60,37,62,35,80,63,26,53,39,45
Welltower Inc.,0.15%,WELL,55,63,50,58,63,57,56,NA,63,66,57,34,59,59,59,65,64,66,76,75,62,49,53,48,54,56,55,43
"Crowdstrike Holdings, Inc. Class A",0.15%,CRWD,51,51,46,47,59,54,42,52,27,26,28,31,27,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Transdigm Group Incorporated,0.13%,TDG,56,45,38,61,40,69,45,48,49,47,39,64,40,54,61,55,42,64,59,61,61,46,52,71,64,22,58,85
Cintas Corp,0.16%,CTAS,52,50,37,54,70,47,30,53,41,53,45,56,45,45,60,28,41,56,59,61,29,61,57,61,43,53,40,64
"Eog Resources, Inc.",0.14%,EOG,82,77,76,63,71,68,59,NA,78,34,81,31,65,72,65,19,16,68,69,61,67,52,51,72,62,60,75,59
Colgate-Palmolive Company,0.14%,CL,62,64,59,58,49,57,64,NA,65,47,52,59,52,48,52,53,58,53,47,53,42,53,63,49,55,52,51,47
Moody's Corporation,0.16%,MCO,58,56,52,48,71,51,40,NA,57,38,39,59,54,64,33,76,60,52,54,55,66,57,69,50,72,50,62,51
Constellation Energy Corporation,0.13%,CEG,22,8,44,35,42,37,15,NA,8,33,37,21,58,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois Tool Works Inc.,0.15%,ITW,53,55,52,45,45,55,51,NA,56,38,35,47,49,51,51,46,61,26,58,39,46,29,55,55,58,54,55,44
Emerson Electric Co.,0.13%,EMR,59,64,41,68,53,61,14,69,17,41,59,56,51,57,36,66,34,60,66,53,47,52,53,57,57,56,51,63
Northrop Grumman Corp.,0.13%,NOC,56,51,42,60,15,39,46,NA,51,28,31,48,61,54,35,53,35,48,42,61,37,49,35,39,63,29,62,60
3m Company,0.13%,MMM,37,33,24,50,42,67,33,NA,34,42,45,59,56,46,47,56,53,59,50,49,50,51,59,59,52,45,55,56
Capital One Financial,0.13%,COF,73,69,68,69,54,63,80,NA,69,75,48,64,76,64,79,77,73,62,69,76,63,83,62,34,88,57,67,86
"O'reilly Automotive, Inc.",0.13%,ORLY,37,NA,63,50,45,49,56,NA,43,58,60,72,40,53,46,54,51,60,35,67,71,58,27,39,52,25,33,48
Target Corporation,0.13%,TGT,69,68,66,27,75,51,62,70,24,43,71,65,50,66,56,66,26,70,44,45,46,64,47,35,46,55,26,49
Csx Corporation,0.12%,CSX,53,53,70,47,55,57,64,NA,55,63,60,51,60,64,48,48,53,52,55,46,58,69,43,75,50,53,14,59
Cvs Health Corporation,0.12%,CVS,18,43,6,45,73,8,32,NA,44,58,60,66,65,29,39,64,48,60,28,55,51,44,33,44,44,34,45,20
"Air Products & Chemicals, Inc.",0.13%,APD,37,39,38,51,53,30,44,41,39,45,47,55,58,61,25,73,58,62,35,44,47,50,42,60,47,46,62,48
Williams Companies Inc.,0.13%,WMB,65,70,53,65,66,71,54,NA,71,76,70,72,73,33,31,48,31,27,57,38,74,20,50,67,56,56,49,75
"Becton, Dickinson and Co.",0.12%,BDX,61,54,22,69,41,43,61,58,51,36,64,62,61,51,50,68,50,56,31,55,48,48,51,65,54,46,65,68
Autodesk Inc,0.12%,ADSK,29,36,31,57,71,26,25,39,70,60,40,72,30,5,7,13,65,55,55,61,71,43,65,71,72,56,72,70
Marriot International Class A,0.14%,MAR,49,47,55,42,58,38,48,NA,47,55,24,22,27,38,62,57,62,49,56,42,59,59,36,42,27,50,25,51
"Hca Healthcare, Inc.",0.16%,HCA,62,60,73,42,64,61,59,NA,61,57,50,74,68,65,62,73,69,74,58,71,67,71,77,62,37,37,64,72
Fedex Corporation,0.13%,FDX,42,47,31,61,50,41,44,49,48,58,64,44,58,20,34,51,58,41,48,57,54,49,51,51,40,54,49,68
General Motors Company,0.11%,GM,42,45,56,49,35,26,44,NA,46,40,32,49,39,30,18,52,33,32,54,49,32,45,8,27,NA,NA,NA,NA
Freeport-Mcmoran Inc.,0.11%,FCX,74,57,75,67,78,61,50,NA,57,49,82,69,6,57,79,32,5,17,66,35,64,71,70,18,87,71,83,41
Arthur J. Gallagher & Co.,0.12%,AJG,52,52,75,18,65,28,78,NA,53,67,54,73,64,33,66,43,72,44,36,61,57,46,62,46,75,31,54,67
Carrier Global Corporation,0.12%,CARR,33,58,17,44,18,58,71,NA,58,28,51,32,44,42,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oneok, Inc.",0.12%,OKE,63,66,53,68,37,71,53,NA,66,59,63,55,33,55,55,75,45,46,53,38,60,41,78,26,56,75,6,38
"Ecolab, Inc.",0.13%,ECL,53,54,50,40,53,54,54,NA,54,38,43,37,47,42,43,43,52,47,48,54,30,58,43,51,60,51,52,52
Schlumberger Limited,0.11%,SLB,69,66,72,61,26,75,49,NA,67,35,66,23,26,50,20,15,56,67,56,38,37,37,40,57,55,63,59,39
Truist Financial Corporation,0.11%,TFC,28,24,35,67,20,34,47,NA,25,64,42,63,17,21,66,20,24,19,67,47,83,85,23,91,53,31,44,62
"Fortinet, Inc.",0.13%,FTNT,49,57,60,37,82,32,54,NA,58,68,65,70,69,55,72,64,64,60,45,71,62,67,59,67,44,14,NA,NA
Hilton Worldwide Holdings Inc.,0.11%,HLT,53,55,64,45,51,50,59,NA,56,67,16,12,53,60,28,57,46,48,78,50,64,50,NA,NA,NA,NA,NA,NA
Norfolk Southern Corp.,0.11%,NSC,38,42,56,55,60,29,36,NA,43,55,59,55,53,54,47,57,52,41,49,52,57,64,42,63,56,54,63,57
Paccar Inc,0.11%,PCAR,47,49,59,16,63,43,52,NA,49,49,24,54,32,45,55,51,59,34,57,31,38,62,66,35,53,57,39,32
"Roper Technologies, Inc.",0.11%,ROP,64,60,68,36,57,52,63,NA,61,24,62,51,39,55,58,52,54,50,58,55,55,59,45,66,58,47,70,58
"Airbnb, Inc. Class A",0.15%,ABNB,60,43,52,46,74,8,55,NA,44,74,34,6,15,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Travelers Companies, Inc.",0.11%,TRV,64,68,72,60,51,38,73,NA,68,65,62,69,64,58,51,63,44,45,55,62,37,38,62,42,56,63,52,77
Sempra,0.11%,SRE,50,62,41,23,63,36,40,NA,63,30,63,44,45,47,66,38,61,52,37,50,30,56,54,23,55,47,14,25
"United Rentals, Inc.",0.10%,URI,54,55,50,55,65,72,43,NA,55,68,67,68,69,73,59,71,73,64,70,62,63,32,34,36,50,64,50,40
